,pm10,so2,co,o3,no2,max,critical,category
2185,57.0,17.0,30.0,46.0,9.0,57.0,PM10,MODERATE
2186,53.0,11.0,14.0,46.0,5.0,53.0,PM10,MODERATE
2187,55.0,12.0,10.0,36.0,7.0,55.0,PM10,MODERATE
2188,61.0,14.0,18.0,30.0,7.0,61.0,PM10,MODERATE
2189,55.0,19.0,15.0,23.0,12.0,55.0,PM10,MODERATE
2190,24.0,18.0,11.0,51.0,9.0,51.0,O3,MODERATE
2191,72.0,32.0,12.0,37.0,11.0,72.0,PM10,MODERATE
2192,52.0,19.0,18.0,33.0,2.0,52.0,PM10,MODERATE
2193,57.0,16.0,33.0,50.0,5.0,57.0,PM10,MODERATE
2194,61.0,27.0,21.0,103.0,24.0,103.0,O3,UNHEALTHY
2195,99.0,33.0,24.0,55.0,21.0,99.0,PM10,MODERATE
2196,75.0,33.0,9.0,32.0,11.0,75.0,PM10,MODERATE
2197,75.0,33.0,8.0,41.0,12.0,75.0,PM10,MODERATE
2198,50.0,22.0,10.0,62.0,9.0,62.0,O3,MODERATE
2199,77.0,33.0,8.0,36.0,8.0,77.0,PM10,MODERATE
2200,57.0,32.0,16.0,86.0,15.0,86.0,O3,MODERATE
2201,59.0,24.0,26.0,93.0,14.0,93.0,O3,MODERATE
2202,72.0,35.0,11.0,40.0,12.0,72.0,PM10,MODERATE
2203,65.0,11.0,36.0,32.0,14.0,65.0,PM10,MODERATE
2204,59.0,27.0,17.0,53.0,18.0,59.0,PM10,MODERATE
2205,68.0,35.0,21.0,39.0,10.0,68.0,PM10,MODERATE
2206,59.0,42.0,26.0,95.0,4.0,95.0,O3,MODERATE
2207,58.0,42.0,19.0,149.0,4.0,149.0,O3,UNHEALTHY
2208,79.0,18.0,29.0,107.0,21.0,107.0,O3,UNHEALTHY
2209,59.0,17.0,31.0,83.0,4.0,83.0,O3,MODERATE
2210,54.0,44.0,33.0,69.0,3.0,69.0,O3,MODERATE
2211,54.0,16.0,35.0,73.0,8.0,73.0,O3,MODERATE
2212,79.0,36.0,15.0,69.0,13.0,79.0,PM10,MODERATE
2213,55.0,37.0,17.0,69.0,9.0,69.0,O3,MODERATE
2214,55.0,41.0,38.0,48.0,2.0,55.0,PM10,MODERATE
